型号,brand,index_zol,price,OLED,IP,full screen,screen_size,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,device_length,device_width,device_thickness,fingerprint_type,release date,releaseY,releaseM,wireless_charge,battery vol
苹果iPhone SE 2（3GB/64GB/全网通）,苹果手机,1166581,3299,0,,0,,,,,,,,1,1200,,,,,苹果,苹果 A13,3,64,,,326ppi,150.9,67.3,8.3,前置指纹 ,2020/04/15,2020,04,1,
苹果iPhone 11（4GB/128GB/全网通）,苹果手机,1292156,5899,0,,1,6.1,2,1200,1200,,,,1,1200,,,,,苹果,苹果 A13,4,128,,,326ppi,138.4,75.7,8.1,,2019/09/11,2019,09,1,
苹果iPhone 11 Pro Max（4GB/64GB/全网通）,苹果手机,1290078,9599,1,IP68,1,6.5,3,1200,1200,1200,,,1,1200,,,,,苹果,苹果 A13,4,64,,2688x1242像素,458ppi,150.9,77.8,8.1,,2019/09/11,2019,09,1,3969
苹果iPhone 11 Pro（4GB/64GB/全网通）,苹果手机,1280696,8699,1,IP68,0,,3,1200,1200,1200,,,1,700,,,,,苹果,苹果 A13,4,64,,2436x1125像素,458ppi,158,71.4,8.3,,2019/09/11,2019,09,1,
苹果iPhone XR（全网通）,苹果手机,1205394,4349,0,IP67,1,6.1,,,,,,,1,700,,,,,苹果,苹果 A12,3,64,,,326ppi,144,75.7,7.7,,2018/10/26,2018,10,1,
苹果iPhone X（全网通）,苹果手机,1182639,4699,1,IP67,1,,1,1200,,,,,1,700,,,,,苹果,苹果 A11+M11协处理器,3,64,,2436x1125像素,458ppi,150.9,70.9,7.7,,2017/11/,2017,11,1,
苹果iPhone XS Max（全网通）,苹果手机,1229520,6099,1,IP68,1,6.5,1,1200,,,,,1,700,,,,,苹果,苹果 A12,4,64,,2688x1242像素,458ppi,143.6,77.4,7.5,,2018/09/21,2018,09,1,
苹果iPhone 8 Plus（全网通）,苹果手机,1182632,3899,,,,,1,1200,,,,,1,1200,,,,,苹果,苹果 A11+M11协处理器,3,64,,1920x1080像素,401ppi,157.5,78.1,8.1,前置指纹 ,2017/09/,2017,09,1,
苹果iPhone 11 Pro Max（4GB/256GB/全网通）,苹果手机,1292176,10899,1,IP68,1,6.5,3,1200,1200,1200,,,1,1200,,,,,苹果,苹果 A13,4,256,,2688x1242像素,458ppi,158.4,77.8,,,2019/09/11,2019,09,1,3969
苹果iPhone12Pro,苹果手机,1280739,,1,,1,6.1,3,1200,1200,1200,,,1,700,,,,,苹果,苹果 A14,6,128,1,2532x1170像素,460ppi,158,,7.3,,2020/09/16,2020,09,,
苹果iPhone 8（全网通）,苹果手机,394162,3499,0,,0,,,,,,,,1,700,,,,,苹果,苹果 A11+M11协处理器,2,64,,,326ppi,,67.3,7.7,前置指纹 ,2017/09/,2017,09,1,
苹果iPhone XS（全网通）,苹果手机,1229519,4699,1,IP68,1,,1,1200,,,,,1,1200,,,,,苹果,苹果 A12,4,64,,2436x1125像素,458ppi,138.4,70.9,8.1,,2018/09/21,2018,09,1,
苹果iPhone 11 Pro Max（4GB/512GB/全网通）,苹果手机,1292177,12699,1,IP68,1,6.5,3,1200,1200,1200,,,1,1200,,,,,苹果,苹果 A13,4,512,,2688x1242像素,458ppi,143.6,77.8,8.3,,2019/09/11,2019,09,1,3969
苹果iPhone 11（4GB/256GB/全网通）,苹果手机,1292157,6699,0,,1,6.1,2,1200,1200,,,,1,700,,,,,苹果,苹果 A13,4,256,,,326ppi,158,75.7,7.3,,2019/09/11,2019,09,1,
苹果iPhone 7 Plus（全网通）,苹果手机,1104332,3599,0,IP67,0,,1,1200,,,,,1,,,,,,苹果,苹果 A10+M10协处理器,3,32,,1920x1080像素,401ppi,150.9,77.9,7.1,前置指纹 ,2016/9/16,2016,9,,
苹果iPhone 7（全网通）,苹果手机,384973,1999,0,IP67,0,,,,,,,,,700,,,,,,,,32,,,326ppi,158.2,67.1,7.3,前置指纹 ,2016/9/16,2016,9,,
苹果iPhone SE 2（3GB/128GB/全网通）,苹果手机,1319322,3799,0,,0,,,,,,,,1,700,,,,,苹果,苹果 A13,3,128,,,326ppi,138.3,67.3,7.3,前置指纹 ,2020/04/15,2020,04,1,
苹果iPhone SE 2（3GB/256GB/全网通）,苹果手机,1319324,4599,0,,0,,,,,,,,1,1200,,,,,苹果,苹果 A13,3,256,,,326ppi,138.4,67.3,8.1,前置指纹 ,2020/04/15,2020,04,1,
苹果iPhone 11 Pro（4GB/256GB/全网通）,苹果手机,1292158,9999,1,IP68,0,,3,1200,1200,1200,,,1,1200,,,,,苹果,苹果 A13,4,256,,2436x1125像素,458ppi,138.4,71.4,,,2019/09/11,2019,09,1,
苹果iPhone12Pro Max,苹果手机,1336667,,1,,1,6.7,3,1200,1200,1200,,,1,1200,,,,,苹果,苹果 A14,6,128,1,2778x1284像素,458ppi,144,,8.1,,2020/09/16,2020,09,,3687
苹果iPhone 11 Pro（4GB/512GB/全网通）,苹果手机,1292159,11799,1,IP68,0,,3,1200,1200,1200,,,1,700,,,,,苹果,苹果 A13,4,512,,2436x1125像素,458ppi,,71.4,7.5,,2019/09/11,2019,09,1,
苹果iPhone 8 Plus（国际版/全网通）,苹果手机,1204817,3038,,,,,1,1200,,,,,1,1200,,,,,苹果,苹果 A11+M11协处理器,3,64,,1920x1080像素,401ppi,144,78.1,,前置指纹 ,2017/09/,2017,09,1,
苹果iPhone12Max,苹果手机,1336666,,1,,1,6.1,2,1400,1000,,,,1,1200,,,,,苹果,苹果 A14,4,128,1,2532x1170像素,460ppi,158.4,,,,2020/09/16,2020,09,,
苹果iPhone 9（全网通）,苹果手机,1203409,,,,,6.2,2,2400,1200,,,,1,700,,,,,苹果,苹果 A12,4,128,,2160x1080像素,,,,8.3,,2018/09/13,2018,09,,3500
苹果iPhone XR 2019（全网通）,苹果手机,1278423,,0,IP67,1,6.1,,,,,,,1,1200,,,,,苹果,苹果 A12,3,64,,,326ppi,,75.7,,,2019/>,2019,,1,
苹果iPhone 11R（全网通）,苹果手机,1272872,,,,,6.1,1,1900,,,,,1,700,,,,,苹果,苹果 A13,4,64,,2436x1125像素,447ppi,150.9,,8.3,,2019/>,2019,,,3400
苹果iPhone XR（国际版/全网通）,苹果手机,1244671,4090,,IP67,1,6.1,,,,,,,1,1200,,,,,苹果,苹果 A12,3,64,,,326ppi,,75.7,,,2018/10/26,2018,10,1,
苹果iPhone 11 Plus（全网通）,苹果手机,1227183,,,,,6.5,1,1900,,,,,1,700,,,,,苹果,苹果 A12,4,64,,,452ppi,150.9,,8.3,,2019/>,2019,,,
苹果iPhone XR（国际版/双4G）,苹果手机,1244673,,,IP67,1,6.1,,,,,,,1,700,,,,,苹果,苹果 A12,3,64,,,326ppi,,75.7,7.3,,2018/10/26,2018,10,1,
苹果iPhone 7 Plus（国际版/全网通）,苹果手机,1155434,,0,IP67,0,,1,1200,,,,,1,700,,,,,苹果,苹果 A10+M10协处理器,3,32,,1920x1080像素,401ppi,150.9,77.9,7.7,前置指纹 ,2016/9/16,2016,9,,
苹果iPhone XS Max（国际版/全网通）,苹果手机,1244581,5958,1,IP68,1,6.5,1,1200,,,,,1,,,,,,苹果,苹果 A12,4,64,,2688x1242像素,458ppi,158.2,77.4,,,2018/09/21,2018,09,1,
苹果iPhone 11s（全网通）,苹果手机,1299582,,,,,,,,,,,,,,,,,,苹果,苹果 A14,,,1,,,157.5,,,,2020/>,2020,,,
苹果iPhone 9 Plus（全网通）,苹果手机,1229526,,,,,,,,,,,,,700,,,,,苹果,苹果 A12,,,,,,,,7.7,,2018/09/13,2018,09,,
苹果iPhone XS（国际版/全网通）,苹果手机,1244552,3838,1,IP68,1,,1,1200,,,,,1,1200,,,,,苹果,苹果 A12,4,64,,2436x1125像素,458ppi,,70.9,,,2018/09/21,2018,09,1,
苹果iPhone X Plus（全网通）,苹果手机,1203189,,,,,6.5,2,2400,1200,,,,1,,,,,,苹果,苹果 A12,4,256,,2160x1080像素,,143.6,,,,2018/09/13,2018,09,,3800
苹果iPhone x Fold（全网通）,苹果手机,1261796,,,,,,,,,,,,,700,,,,,,,,,,,,,,7.7,,2019/>,2019,,,
苹果iPhone XS Max（国际版/双4G）,苹果手机,1244586,6399,1,IP68,1,6.5,1,1200,,,,,1,700,,,,,苹果,苹果 A12,4,64,,2688x1242像素,458ppi,,77.4,7.7,,2018/09/21,2018,09,1,
苹果iPhone XS（国际版/双4G）,苹果手机,1244575,3758,1,IP68,1,,1,1200,,,,,1,1100,,,,,苹果,苹果 A12,4,64,,2436x1125像素,458ppi,157.5,70.9,,,2018/09/21,2018,09,1,
苹果iPhone XI Max（全网通）,苹果手机,1261797,,,,1,,3,1400,1000,700,,,1,,,,,,苹果,苹果 A12,,,,,,143.6,,,,2019/>,2019,,,
苹果iPhone 2019（全网通）,苹果手机,1264050,,,,,6.1,1,1,,,,,,700,,,,,苹果,苹果 A12,,,,,,,,7.7,,2019/09/13,2019,09,,
苹果iPhone X（国际版/全网通）,苹果手机,1204818,3138,1,IP67,1,,1,1200,,,,,1,1200,,,,,苹果,苹果 A11+M11协处理器,3,64,,2436x1125像素,463ppi,,70.9,,,2017/11/,2017,11,1,
苹果iPhone XI（全网通）,苹果手机,1249718,,,,1,6.5,3,2400,1200,800,,,1,700,,,,,苹果,苹果 A12,4,128,,,678ppi,143.6,,7.1,,2019/09/,2019,09,,3500
苹果iPhone 7（国际版/全网通）,苹果手机,1155432,1588,0,IP67,0,,,,,,,,1,,,,,,苹果,苹果 A10+M10协处理器,2,32,,,326ppi,,67.1,,前置指纹 ,2016/9/16,2016,9,,
苹果iPhone 2018（全网通）,苹果手机,1229521,9999,,,,6.1,1,1,,,,,,,,,,,苹果,苹果 A12,,,,,,138.3,,,,2018/09/13,2018,09,,
苹果iPhone X2（全网通）,苹果手机,1229523,9999,,,,,,,,,,,,,,,,,苹果,苹果 A12,,,,,,,,,,2018/09/13,2018,09,,
苹果iPhone X2 Plus（全网通）,苹果手机,1229525,9999,,,,,,,,,,,,,,,,,苹果,苹果 A12,,,,,,,,7.6,,2018/09/13,2018,09,,
苹果iPhone 5S（联通3G）,苹果手机,362834,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,,58.6,,前置指纹 ,2013/09/,2013,09,,
苹果iPhone,苹果手机,97445,,,,,,,,,,,,,,,,,,,,,,,,91ppi,123.8,,7.3,,2007/06/29(美国上市),2007,06,,
苹果iPhone 7 Plus（双4G）,苹果手机,1177080,,,IP67,,,,,,,,,,,,,,,,,,32,,,401ppi,,77.9,7.1,前置指纹 ,2016/9/16,2016,9,,
苹果iPhone 6S（国际版/双4G）,苹果手机,1100448,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,158.2,67.1,7.3,前置指纹 ,2015/09/>,2015,09,,
苹果iPhone 6S Plus（国际版/双4G）,苹果手机,1100450,,,,,,,,,,,,,,,,,,,,,16,,,401ppi,138.3,77.9,,前置指纹 ,2015/09/>,2015,09,,
苹果iPhone Magnet,苹果手机,190417,,1,,,,,,,,,,,,,,,,,,,,,,91ppi,158.2,,7.6,,2009/,2009,,,
苹果iPhone 5（32GB）,苹果手机,282231,,,,,,,,,,,,,,,,,,,,,32,,,326ppi,,58.6,7.6,,2012/09/,2012,09,,
苹果iPhone 5（64GB）,苹果手机,282233,,,,,,,,,,,,,,,,,,,,,64,,,326ppi,123.8,58.6,9.3,,2012/09/,2012,09,,
苹果iPhone 4（8GB/联通版）,苹果手机,304506,,,,,,,,,,,,,,,,,,,,,,,,330ppi,123.8,58.6,9.3,,2011/,2011,,,
苹果iPhone 4S（联通版）,苹果手机,304507,,,,,,,,,,,,,,,,,,,,,8,,,330ppi,115.2,58.6,7.6,,2012/01/,2012,01,,
苹果iPhone 5（联通版）,苹果手机,335493,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,115.2,58.6,9.3,,2012/09/,2012,09,,
苹果iPhone 4（16GB/联通版）,苹果手机,246884,,,,,,,,,,,,,,,,,,,,,,,,330ppi,123.8,58.6,9.3,,2010/09/,2010,09,,
苹果iPhone 4（32GB/联通版）,苹果手机,247183,,,,,,,,,,,,,,,,,,,,,,,,330ppi,115.2,58.6,9.3,,2010/09/,2010,09,,
苹果iPhone 4S（32GB）,苹果手机,300668,,,,,,,,,,,,,,,,,,,,,,,,330ppi,115.2,58.6,9.3,,2011/10/,2011,10,,
苹果iPhone 4S（64GB）,苹果手机,300669,,,,,,,,,,,,,,,,,,,,,,,,330ppi,115.2,58.6,9.3,,2011/10/,2011,10,,
苹果iPhone 4（32GB/施华洛世奇粉色）,苹果手机,271828,,,,,,,,,,,,,,,,,,,,,32,,,330ppi,115.2,58.6,9.3,,2010/08/,2010,08,,
苹果iPhone 4（16GB/白色）,苹果手机,251723,,,,,,,,,,,,,,,,,,,,,16,,,330ppi,115.2,58.6,7.1,,2011/04/,2011,04,,
苹果iPhone 6 Plus（移动4G）,苹果手机,375437,,,,,,,,,,,,,,,,,,,,,16,,,401ppi,115.2,77.8,7.6,前置指纹 ,2014/09/,2014,09,,
苹果iPhone 5S（双4G）,苹果手机,340414,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,158.1,58.6,7.1,前置指纹 ,2013/09/,2013,09,,
苹果iPhone 6S（移动4G）,苹果手机,1104469,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,123.8,67.1,12.3,前置指纹 ,2015/11/>,2015,11,,
苹果iPhone 3GS（16GB）,苹果手机,197403,,,,,,,,,,,,,,,,,,,,,,,,165ppi,138.3,62.1,7.6,,2009/06/,2009,06,,
苹果iPhone SE（全网通）,苹果手机,398689,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,115.5,58.6,7.3,前置指纹 ,2016/03/>,2016,03,,
苹果iPhone 6S Plus（全网通）,苹果手机,398690,2399,,,,,,,,,,,,,,,,,,,,16,,,401ppi,123.8,77.9,9.3,前置指纹 ,2015/09/>,2015,09,,
苹果iPhone 4S（16GB）,苹果手机,281723,,,,,,,,,,,,,,,,,,,,,,,,330ppi,158.2,58.6,8.97,,2011/10/,2011,10,,
苹果iPhone 5C（联通3G）,苹果手机,374327,,,,,,,,,,,,,,,,,,,,,8,,,326ppi,115.2,59.2,7.3,,2013/09/,2013,09,,
苹果iPhone 6S Plus（移动4G）,苹果手机,1104582,,,,,,,,,,,,,,,,,,,,,16,,,401ppi,124.4,77.9,8.97,前置指纹 ,2015/11/>,2015,11,,
苹果iPhone 5C（移动4G）,苹果手机,361781,,,,,,,,,,,,,,,,,,,,,8,,,326ppi,158.2,59.2,8.97,,2013/09/,2013,09,,
苹果iPhone 5C（电信3G）,苹果手机,361783,,,,,,,,,,,,,,,,,,,,,8,,,326ppi,124.4,59.2,7.6,,2013/09/,2013,09,,
苹果iPhone 5S（电信3G）,苹果手机,361785,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,124.4,58.6,7.6,前置指纹 ,2013/09/,2013,09,,
苹果iPhone 5S（移动4G）,苹果手机,361786,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,123.8,58.6,9.3,前置指纹 ,2013/09/,2013,09,,
苹果iPhone 4S（8GB）,苹果手机,361995,,,,,,,,,,,,,,,,,,,,,8,,,330ppi,123.8,58.6,12.3,,2011/10/,2011,10,,
苹果iPhone 3GS（32GB/联通版）,苹果手机,213790,,,,,,,,,,,,,,,,,,,,,32,,,165ppi,115.2,62.1,7.3,,2009/10/,2009,10,,
苹果iPhone 8（国际版/全网通）,苹果手机,1204816,,,,,,,,,,,,,,,,,,,,,64,,,326ppi,115.5,67.3,9.3,前置指纹 ,2017/09/,2017,09,1,
苹果iPhone 4（16GB/C网）,苹果手机,244796,,,,,,,,,,,,,,,,,,,,,,,,330ppi,138.4,55.9,6.9,,2011/02/,2011,02,,
苹果iPhone 6（全网通）,苹果手机,273715,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,112.5,67,7.6,前置指纹 ,2014/09/,2014,09,,
苹果iPhone SE（国际版）,苹果手机,1141083,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,138.1,58.6,7.1,前置指纹 ,2016/03/>,2016,03,,
苹果iPhone 6 Plus（全网通）,苹果手机,388271,,,,,,,,,,,,,,,,,,,,,16,,,401ppi,123.8,77.8,9.3,前置指纹 ,2014/09/,2014,09,,
苹果iPhone 4S（白色）,苹果手机,298968,,,,,,,,,,,,,,,,,,,,,,,,330ppi,158.1,58.6,,,2011/10/,2011,10,,
苹果iPhone 3G（16GB）,苹果手机,147351,,,,,,,,,,,,,,,,,,,,,,,,91ppi,115.2,,7.1,,2008/07/,2008,07,,
苹果iPhone 6S（全网通）,苹果手机,368535,,,,,,,,,,,,,,,,,,,,,16,,,326ppi,,67.1,9.3,前置指纹 ,2015/09/>,2015,09,,
苹果iPhone 4（16GB）,苹果手机,227845,,,,,,,,,,,,,,,,,,,,,,,,330ppi,138.3,58.6,9.3,,2010/06/,2010,06,,
苹果iPhone 4（32GB）,苹果手机,227848,,,,,,,,,,,,,1000,,,,,,,,,,,330ppi,115.2,58.6,8.1,,2010/06/,2010,06,,
三星Galaxy Note 20 Ultra（12GB/256GB/全网通/5G版）,三星手机,1330551,9199,1,IP68,1,6.9,3,10800,1200,1200,,,1,1000,,,,,高通,高通 骁龙865 Plus,12,256,1,,,115.2,77.2,8.3,屏幕指纹 ,2020/08/05,2020,08,1,4500
三星Galaxy Note 20（8GB/256GB/全网通/5G版）,三星手机,1315023,7399,1,IP68,1,6.7,3,6400,1200,1200,,,1,1000,,,,,高通,高通 骁龙865 Plus,8,256,1,2400x1080像素,,164.8,75.2,7.9,屏幕指纹 ,2020/08/05,2020,08,1,4300
三星Galaxy S20（12GB/128GB/全网通）,三星手机,1295652,6999,1,IP68,1,6.2,3,1200,1200,6400,,,1,1000,,,,,高通,高通 骁龙865,12,128,1,,563ppi,161,69.1,7.8,屏幕指纹 ,2020/02/27,2020,02,1,4000
三星Galaxy S10（全网通）,三星手机,1203197,3899,1,,1,6.1,3,1600,1200,1200,,,1,4000,,,,,高通,高通 骁龙855,8,128,,,551ppi,151.7,70.4,,屏幕指纹 ,2019/02/,2019,02,1,3400
三星Galaxy S20 Ultra（12GB/256GB/全网通）,三星手机,1310746,9999,1,IP68,1,6.9,3,10800,4800,1200,,,1,1000,,,,,高通,高通 骁龙865,12,256,1,,509ppi,149.9,,"15.4-17.3mm
展开：167.3",屏幕指纹 ,2020/03/,2020,03,1,5000
三星Galaxy Z Flip（8GB/256GB/全网通/5G版）,三星手机,1330789,12499,1,,0,6.7,2,1200,1200,,,,1,1000,,,,,高通,高通 骁龙865 Plus,8,256,1,2636x1080像素,425ppi,,73.6,8.1,侧面指纹,2020/08/,2020,08,,3300
三星Galaxy Note 20 Ultra（12GB/512GB/全网通/5G版）,三星手机,1334558,9999,1,IP68,1,6.9,3,10800,1200,1200,,,1,1000,,,,,高通,高通 骁龙865 Plus,12,512,1,,,折叠：87.4,77.2,,屏幕指纹 ,2020/08/05,2020,08,1,4500
三星Galaxy S20+（12GB/128GB/全网通）,三星手机,1310745,7999,1,IP68,1,6.7,3,1200,1200,6400,,,1,1000,,,,,高通,高通 骁龙865,12,128,1,,524ppi,164.8,,"16.8mm
展开尺寸：159.2",屏幕指纹 ,2020/03/,2020,03,1,4500
三星Galaxy Z Fold2（12GB/512GB/全网通/5G版）,三星手机,1321232,16999（预售）,1,,,7.6,3,1200,1200,1200,,,1,1000,,,,,高通,高通 骁龙865 Plus,12,512,1,,373ppi,,68,7.9,侧面指纹,"2020/09/01
2020/09/09",2020,09,1,4500
三星GALAXY Note 10+（12GB/256GB/全网通/5G版）,三星手机,1285705,6499,1,,1,6.8,3,1200,1200,1600,,,1,800,,,,,高通,高通 骁龙855（SM8150）,12,256,1,,498ppi,折叠尺寸：159.2,77.2,8,屏幕指纹 ,"美国：2019/08/08
中国：2019/08/21",2019,08,1,4300
三星GALAXY S8（G9500/双卡版/全网通）,三星手机,1142397,3999,1,IP68,1,,,,,,,,1,3200,,,,,高通,高通 骁龙835（MSM8998）,4,64,,,568ppi,162.3,68.1,,后置指纹 ,2017/05/25,2017,05,1,
三星GALAXY A71（8GB/128GB/全网通/5G版）,三星手机,1301238,2888,1,,1,6.7,4,6400,1200,500,500,,1,1000,800,,,,三星,三星 Exynos 980,8,128,1,,,148.9,,7.8,屏幕指纹 ,2020/04/,2020,04,,4500
三星Galaxy S10+（8GB RAM/陶瓷版/全网通）,三星手机,1211590,8999,1,,1,6.4,3,1600,1200,1200,,,2,1000,,,,,高通,高通 骁龙855,8,128,,,526ppi,,74.1,7.9,屏幕指纹 ,2019/02/,2019,02,1,4100
三星GALAXY Note 10（8GB/256GB/全网通）,三星手机,1205967,6599,1,,1,6.3,3,1200,1200,1600,,,1,800,,,,,高通,高通 骁龙855（SM8150）,8,256,,2280x1080像素,400ppi,157.6,151,8.5,屏幕指纹 ,"美国：2019/08/08
中国：2019/08/21",2019,08,1,3500
三星GALAXY S9（全网通）,三星手机,1164497,6099,1,IP68,1,,,,,,,,1,1000,800,1000,,,高通,高通 骁龙845,4,64,,,568ppi,71.8,68.7,6.9,后置指纹 ,2018/03/16,2018,03,1,
三星W20（12GB/512GB/全网通/5G版）,三星手机,1292551,19999,1,,1,7.3,3,1600,1200,1200,,,3,1000,800,,,,高通,高通 骁龙855 Plus,12,512,1,,,147.7,117.9,7.8,侧面指纹,2019/11/19,2019,11,1,4235
三星Galaxy S10+（8GB RAM/玻璃版/全网通）,三星手机,1257357,4238,1,,1,6.4,3,1600,1200,1200,,,2,800,,,,,高通,高通 骁龙855,8,128,,,526ppi,160.9,74.1,8.5,屏幕指纹 ,2019/02/,2019,02,1,4100
三星GALAXY S9+（全网通）,三星手机,1177170,,1,IP68,0,6.2,1,1200,,,,,1,800,,,,,高通,高通 骁龙845,6,64,,,531ppi,157.6,73.8,8.8,后置指纹 ,2018/03/16,2018,03,1,3500
三星GALAXY Note 9（6GB RAM/全网通）,三星手机,1184309,2999,1,IP68,,6.4,1,1200,,,,,1,3200,,,,,高通,高通 骁龙845,6,128,,,514ppi,158.1,76.4,8.7,后置指纹 ,2018/08/,2018,08,1,4000
三星Galaxy A51（全网通）,三星手机,1300183,,1,,1,6.5,4,1200,1200,500,500,,1,3200,,,,,三星,三星 Exynos 980,8,128,,2400x1080像素,,161.9,73.6,8.4,屏幕指纹 ,4G手机>，3G手机>，智能手机>，拍照手机>,4,3,,4500
三星Galaxy A90（8GB/128GB/全网通/5G版）,三星手机,1290066,3040,1,,1,6.7,3,4800,500,800,,,1,800,,,,,高通,高通 骁龙855,8,128,1,2400x1080像素,393ppi,158.9,76.4,8.6,,2019/10/,2019,10,,4500
三星GALAXY Note 8（N9500/全网通）,三星手机,1161385,4399,1,IP68,0,6.3,1,1200,,,,,1,800,,,,,高通,高通 骁龙835（MSM8998）,6,64,,,522ppi,164.8,74.8,17.3,后置指纹 ,2017/09/,2017,09,1,3300
三星W2019（全网通）,三星手机,1222360,14458,1,,,,1,1200,,,,,1,500,,,,,高通,高通 骁龙845,6,128,,1920x1080像素,525ppi,162.5,63.4,7.7,,2018/11/09,2018,11,,
三星GALAXY S7 Edge（G9350/全网通）,三星手机,1100338,,1,IP68,0,,,,,,,,1,1000,800,1000,,,高通,高通 骁龙820（MSM8996）,4,32,,,534ppi,132.9,72.6,"15.7mm
展开：160.9",前置指纹 ,2016/02/>,2016,02,1,3600
三星Galaxy Fold（12GB/512GB/全网通）,三星手机,1225416,15999,1,,1,7.3,3,1200,1600,1200,,,3,1000,,,,,高通,高通 骁龙855,12,512,,,362ppi,150.9,62.8,7.9,侧面指纹,2019/11/,2019,11,1,4380
三星Galaxy S10e（6GB RAM/全网通）,三星手机,1227273,,1,,,,2,1600,1200,,,,1,1000,800,,,,高通,高通 骁龙855,6,128,,2280x1080像素,435ppi,折叠：160.9,69.9,7.9,侧面指纹,2019/02/,2019,02,1,
三星Galaxy S10（5G版/全网通）,三星手机,1262317,,1,IP68,,6.7,3,1200,1200,1600,,,2,3200,,,,,高通,高通 骁龙855+骁龙X50,8,128,1,,435ppi,142.2,77.1,7.7,屏幕指纹 ,2019/>,2019,,,4500
三星Galaxy A50s（6GB/128GB/全网通）,三星手机,1283109,1999,1,,1,6.4,3,4800,500,800,,,1,1000,,,,,三星,三星 Exynos 9611,6,128,,,,162.6,74.5,"15.4-17.3mm
展开：167.3",屏幕指纹 ,2019/11/,2019,11,,4000
三星Galaxy Z Flip（8GB/256GB/全网通）,三星手机,1271285,11999,1,,,6.7,2,1200,1200,,,,1,,,,,,高通,高通 骁龙855,8,256,,2636x1080像素,425ppi,158.5,73.6,9.3,侧面指纹,2020/2/12,2020,2,,3300
